zend_version,Environment
mb_strtoupper,String
mb_strtolower,String
mb_language,String
mb_internal_encoding,String
mb_http_input,String
mb_http_output,String
mb_detect_order,String
mb_substitute_character,String
mb_parse_str,String
mb_output_handler,String
mb_preferred_mime_name,String
mb_strlen,String
mb_strpos,String
mb_strrpos,String
mb_stripos,String
mb_strripos,String
mb_strstr,String
mb_strrchr,String
mb_stristr,String
mb_strrichr,String
mb_substr_count,String
mb_substr,String
mb_strcut,String
mb_strwidth,String
mb_strimwidth,String
mb_convert_encoding,String
mb_detect_encoding,String
mb_list_encodings,String
mb_encoding_aliases,String
mb_convert_kana,String
mb_encode_mimeheader,String
mb_decode_mimeheader,String
mb_convert_variables,String
mb_encode_numericentity,String
mb_decode_numericentity,String
mb_send_mail,String
mb_get_info,String
mb_check_encoding,String
mb_regex_encoding,String
mb_regex_set_options,String
mb_ereg,String
mb_eregi,String
mb_ereg_replace,String
mb_eregi_replace,String
mb_ereg_replace_callback,String
mb_split,String
mb_ereg_match,String
mb_ereg_search,String
mb_ereg_search_pos,String
mb_ereg_search_regs,String
mb_ereg_search_init,String
mb_ereg_search_getregs,String
mb_ereg_search_getpos,String
mb_ereg_search_setpos,String
mbregex_encoding,String
mbereg,String
mberegi,String
mbereg_replace,String
mberegi_replace,String
mbsplit,String
mbereg_match,String
mbereg_search,String
mbereg_search_pos,String
mbereg_search_regs,String
mbereg_search_init,String
mbereg_search_getregs,String
mbereg_search_getpos,String
mbereg_search_setpos,String
mcrypt_get_key_size,Cryptography
mcrypt_get_block_size,Cryptography
mcrypt_get_cipher_name,Cryptography
mcrypt_create_iv,Cryptography
mcrypt_list_algorithms,Cryptography
mcrypt_list_modes,Cryptography
mcrypt_get_iv_size,Cryptography
mcrypt_encrypt,Cryptography
mcrypt_decrypt,Cryptography
mcrypt_module_open,Cryptography
mcrypt_generic_init,Cryptography
mcrypt_generic,Cryptography
mdecrypt_generic,Cryptography
mcrypt_generic_deinit,Cryptography
mcrypt_enc_self_test,Cryptography
mcrypt_enc_is_block_algorithm_mode,Cryptography
mcrypt_enc_is_block_algorithm,Cryptography
mcrypt_enc_is_block_mode,Cryptography
mcrypt_enc_get_block_size,Cryptography
mcrypt_enc_get_key_size,Cryptography
mcrypt_enc_get_supported_key_sizes,Cryptography
mcrypt_enc_get_iv_size,Cryptography
mcrypt_enc_get_algorithms_name,Cryptography
mcrypt_enc_get_modes_name,Cryptography
mcrypt_module_self_test,Cryptography
mcrypt_module_is_block_algorithm_mode,Cryptography
mcrypt_module_is_block_algorithm,Cryptography
mcrypt_module_is_block_mode,Cryptography
mcrypt_module_get_algo_block_size,Cryptography
mcrypt_module_get_algo_key_size,Cryptography
mcrypt_module_get_supported_key_sizes,Cryptography
mcrypt_module_close,Cryptography
spl_classes,Object-oriented notation
spl_autoload,Object-oriented notation
spl_autoload_extensions,Object-oriented notation
spl_autoload_register,Object-oriented notation
spl_autoload_unregister,Object-oriented notation
spl_autoload_functions,Object-oriented notation
spl_autoload_call,Object-oriented notation
class_parents,Object-oriented notation
class_implements,Object-oriented notation
class_uses,Object-oriented notation
spl_object_hash,Object-oriented notation
iterator_to_array,Iterable
iterator_count,Iterable
iterator_apply,Iterable
pdo_drivers,Database
posix_kill,POSIX
posix_getpid,POSIX
posix_getppid,POSIX
posix_getuid,POSIX
posix_setuid,POSIX
posix_geteuid,POSIX
posix_seteuid,POSIX
posix_getgid,POSIX
posix_setgid,POSIX
posix_getegid,POSIX
posix_setegid,POSIX
posix_getgroups,POSIX
posix_getlogin,POSIX
posix_getpgrp,POSIX
posix_setsid,POSIX
posix_setpgid,POSIX
posix_getpgid,POSIX
posix_getsid,POSIX
posix_uname,POSIX
posix_times,POSIX
posix_ctermid,POSIX
posix_ttyname,POSIX
posix_isatty,POSIX
posix_getcwd,POSIX
posix_mkfifo,POSIX
posix_mknod,POSIX
posix_access,POSIX
posix_getgrnam,POSIX
posix_getgrgid,POSIX
posix_getpwnam,POSIX
posix_getpwuid,POSIX
posix_getrlimit,POSIX
posix_setrlimit,POSIX
posix_get_last_error,POSIX
posix_errno,POSIX
posix_strerror,POSIX
posix_initgroups,POSIX
session_name,Session
session_module_name,Session
session_save_path,Session
session_id,Session
session_regenerate_id,Session
session_decode,Session
session_encode,Session
session_start,Session
session_destroy,Session
session_unset,Session
session_set_save_handler,Session
session_cache_limiter,Session
session_cache_expire,Session
session_set_cookie_params,Cookie
session_get_cookie_params,Cookie
session_write_close,Session
session_abort,Session
session_reset,Session
session_status,Session
session_register_shutdown,Session
session_commit,Session
simplexml_load_file,Serialization
simplexml_load_string,Serialization
simplexml_import_dom,Serialization
use_soap_error_handler,Serialization
is_soap_fault,Serialization
socket_select,Network
socket_create,Network
socket_create_listen,Network
socket_create_pair,Network
socket_accept,Network
socket_set_nonblock,Network
socket_set_block,Network
socket_listen,Network
socket_close,Network
socket_write,Network
socket_read,Network
socket_getsockname,Network
socket_getpeername,Network
socket_connect,Network
socket_strerror,Network
socket_bind,Network
socket_recv,Network
socket_send,Network
socket_recvfrom,Network
socket_sendto,Network
socket_get_option,Network
socket_set_option,Network
socket_shutdown,Network
socket_last_error,Network
socket_clear_error,Network
socket_import_stream,Network
socket_sendmsg,Network
socket_recvmsg,Network
socket_cmsg_space,Network
socket_getopt,Network
socket_setopt,Network
constant,Variable
bin2hex,Type Conversion
hex2bin,Type Conversion
sleep,Performance
usleep,Performance
time_nanosleep,Datetime
time_sleep_until,Datetime
strptime,Datetime
flush,Standard streams
wordwrap,String
htmlspecialchars,Serialization
htmlentities,Serialization
html_entity_decode,Serialization
htmlspecialchars_decode,Serialization
get_html_translation_table,Serialization
sha1,Cryptography
sha1_file,Cryptography
md5,Cryptography
md5_file,Cryptography
crc32,Cryptography
iptcparse,Data Structure
iptcembed,Data Structure
getimagesize,Data Structure
getimagesizefromstring,Data Structure
image_type_to_mime_type,Data Structure
image_type_to_extension,Data Structure
phpinfo,Environment
